V13,V14,p.value,probability,n,p_adju,p_scaled
IPR006091,"Acyl-CoA oxidase/dehydrogenase, middle domain",0.2872539178634532,0.00044677894574321627,1,0.33653371815581745,4.7297141620851235
IPR022761,"Fumarate lyase, N-terminal",0.2901883900274467,0.0007719186512786863,7,0.3398350784417809,4.687317944269166
IPR008915,Peptidase M50,0.2928681477500703,0.00045240791014242886,6,0.3428356157523906,4.649140673752521
IPR002310,"Glycine-tRNA ligase, alpha subunit",0.2935654150352657,0.00013648898438471666,1,0.34351394472023866,4.6405562835078396
IPR015944,"Glycine-tRNA ligase, beta subunit",0.2937582874013656,0.00013654259356947108,1,0.34360175132867316,4.639446312481283
IPR034733,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,0.29412737536024297,0.00034583285085067054,4,0.34389551986787026,4.635734819544796
IPR009293,Uncharacterised protein family UPF0478,0.2951628300879949,0.000241080503840562,2,0.34496786073610947,4.62221364506844
IPR007127,"RNA polymerase sigma factor 70, region 1.1",0.298173216015287,0.00024199185998138688,2,0.348346593710167,4.579884318356298
IPR032688,ABC-2 type transporter permease protein NosY/YtrC-like,0.2985732675020059,0.0003494246662292157,4,0.3486742683363433,4.575801017547379
IPR000713,"Mur ligase, N-terminal catalytic domain",0.30053619514556523,0.0006740282799171417,5,0.3507559350749208,4.54994971622538
IPR022414,"ATP:guanido phosphotransferase, catalytic domain",0.3007166795909815,0.00013847252422062969,1,0.3507559350749208,4.54994971622538
IPR001721,"Threonine dehydratase, ACT-like domain",0.3007166795909815,0.00013847252422062969,1,0.3507559350749208,4.54994971622538
IPR000897,"Signal recognition particle, SRP54 subunit, GTPase domain",0.3037492980007655,0.0005668635195930848,3,0.35415152057986093,4.5081088918106484
IPR002208,SecY/SEC61-alpha family,0.3050387774571886,0.00035414227448760344,4,0.35551281977024857,4.491447340197447
IPR015896,"Tetrapyrrole biosynthesis, glutamyl-tRNA reductase, dimerisation domain",0.3061480026700512,0.00013997358139375302,1,0.3566630346727404,4.477418995474017
IPR018027,Asn/Gln amidotransferase,0.30851245787247283,0.00024510119269714243,2,0.3592740923147487,4.445740991616619
IPR004474,Cell envelope-related transcriptional attenuator domain,0.30991574776047504,0.0009178428521801783,11,0.3606202396127475,4.429499023904836
IPR019734,Tetratricopeptide repeat,0.3098369885136537,0.0007967933130047305,8,0.3606202396127475,4.429499023904836
IPR006075,"Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic",0.3108438746057733,0.0002457981120989497,2,0.361555938711781,4.418245005978837
IPR015895,"Glutamyl-tRNA reductase, N-terminal",0.3137389909717373,0.00014206433959917486,1,0.36477786988579985,4.379715170486975
IPR029410,CAP-associated domain,0.3139000874026136,0.0002467094682397746,2,0.36481971098685584,4.379217050432807
IPR005824,KOW,0.31450128680849687,0.00046843705638399615,6,0.3653728096946522,4.372637750977365
IPR041609,"Phosphoribosylformylglycinamidine synthase, linker domain",0.3151609361847977,0.00024708473253305544,2,0.3659933452468618,4.36526811187123
IPR007253,Putative cell wall binding repeat 2,0.3165601025249672,0.0003615403419837114,4,0.36747183875907813,4.347759375053863
IPR003700,Ketopantoate hydroxymethyltransferase,0.31725202070560676,0.00014302930492475415,1,0.36812848880921184,4.340005719750117
IPR018974,"Tex-like protein, N-terminal",0.31895173343720234,0.00024821052541289793,2,0.3699535619343206,4.318527869097441
IPR001890,"RNA-binding, CRM domain",0.3202180365743157,0.00024858578970617877,2,0.3712746698412344,4.303046794391556
IPR002585,Cytochrome ubiquinol oxidase subunit 1,0.32058008215399764,0.0002486930080756876,2,0.3714370137769228,4.301148209028813
IPR004872,Lipoprotein NlpA family,0.3206128133321381,0.0005907196068087953,9,0.3714370137769228,4.301148209028813
IPR012507,YibE/F-like,0.3218873021335218,0.0003646496746994669,4,0.3727654380545471,4.285643612269125
IPR001911,Small ribosomal subunit protein bS21,0.32202934274797,0.00024912188155372286,2,0.372781883069901,4.285452022031407
IPR012440,Protein of unknown function DUF1641,0.32233624300656705,0.0001444231437283687,1,0.3729890811933133,4.283038814537793
IPR002882,2-phospho-L-lactate transferase CofD,0.3247512979408583,0.00024992601932503894,2,0.37563458341751,4.252344305273953
IPR004381,Glycerate kinase,0.32640716306940526,0.00036716930638292395,4,0.3774001933030871,4.231978817268835
IPR020547,"ATP synthase epsilon subunit, C-terminal domain",0.3276611866062068,0.0002507837662811094,2,0.3786999683486718,4.217047311770289
IPR018113,"Phosphotransferase system EIIB, cysteine phosphorylation site",0.32851034611246654,0.0017813259910193894,51,0.3795309703898385,4.2075277913447815
IPR005481,"Biotin carboxylase-like, N-terminal domain",0.3286793098526291,0.0005973135365335872,9,0.3795757891208976,4.207014964199888
IPR032264,"Menaquinone biosynthesis protein MenD, middle domain",0.32978640855205366,0.00014646029274903612,1,0.3807035500149598,4.194130734227766
IPR022418,"Porphobilinogen deaminase, C-terminal",0.3317505279078724,0.00014699638459658016,1,0.3828193665925429,4.170060996529726
IPR028939,"Pyrroline-5-carboxylate reductase, catalytic, N-terminal",0.3318992395827756,0.0004784083647483156,6,0.3828394709744358,4.1698329257051805
IPR000683,"Gfo/Idh/MocA-like oxidoreductase, N-terminal",0.3329057140730611,0.001078402360519623,26,0.3838485813511452,4.158400601437763
IPR022417,"Porphobilinogen deaminase, N-terminal",0.3335194245637215,0.0001474788672593698,1,0.3844042063351036,4.152118687190757
IPR026569,Large ribosomal subunit protein bL28,0.3340490482046946,0.0002526600877475136,2,0.38486251464436566,4.146943868422593
IPR032819,"tRNA pseudouridylate synthase B, C-terminal",0.3342319991144615,0.00025271369693226803,2,0.38492121225030396,4.146281551319263
IPR018478,"Sporulation transcription regulator WhiA, N-terminal domain",0.33496404203504393,0.00025292813367128566,2,0.3856119804872436,4.138494815672534
